转生成蜘蛛又怎样！,348237066,5796560,1834314,7.8
关于我转生变成史莱姆这档事 第二季,340714669,9699145,2408333,8.9
堀与宫村,185526029,6235500,2145346,9.8
国王排名,123311964,6734073,598371,9.7
致不灭的你,121541270,4577882,1327556,9.6
关于我转生变成史莱姆这档事 转生史莱姆日记,86181387,9699145,410435,9.7
Re：从零开始的异世界生活 第二季 后半,84352989,9175021,984904,9.9
世界顶尖的暗杀者 转生为异世界贵族,79205659,4142529,561218,9.2
入间同学入魔了 第二季,77581302,3603120,416410,9.7
异世界迷宫黑心企业,76450285,3121695,437040,9.8
打了300年的史莱姆，不知不觉就练到了满级,76388080,2669903,640462,9.5
好比是最终迷宫前的少年到新手村生活一般的故事,72491633,2518007,357177,7.8
精灵幻想记,68714907,2367685,673920,7.2
工作细胞BLACK,68645681,2895622,646832,9.8
工作细胞 第二季,68202188,9303504,550466,9.7
月光下的异世界之旅,66669167,2687969,343196,9.1
小林家的龙女仆 第二季,62289004,8863990,74506,0
Ｄｒ．ＳＴＯＮＥ 石纪元  (第二季),60560155,4003320,343764,9.7
五等分的新娘∬,57209021,4761907,668042,9.7
转生成为了只有乙女游戏破灭Flag的邪恶大小姐 第二季,53668787,3999147,598926,9.6
我们的重制人生,51846773,2259578,570630,9.6
极主夫道,49997858,2827509,196330,9.7
侦探已死,47613964,2431943,643498,7.1
我被逐出队伍后过上慢生活,46186745,2547998,268082,9.3
弱势角色友崎君,44848775,1968348,483449,9.1
无限滑板 / SK8 the Infinity,44442538,1840088,799995,9.6
见面5秒开始战斗,43755217,1789352,260115,8.8
奇蛋物语 / WONDER EGG PRIORITY,43421838,2407710,451556,9.7
动物狂想曲 / BEASTARS 第二季,41483232,4025951,449143,9.2
死神少爷与黑女仆,40686426,2306678,399803,9.7
约定的梦幻岛 第二季,38918449,4023478,360582,2.7
现实主义勇者的王国再建记,37649744,1454630,370997,7.9
进化之实 踏上胜利的人生,34961206,1632848,214926,4.3
青梅竹马绝对不会输的恋爱喜剧,34679465,1708489,293967,5.4
关于前辈很烦人的事,34024504,2208357,279993,9.8
通灵王,33813934,1312800,128775,7.9
圣女魔力无所不能,31856807,1385424,280282,8.8
SSSS.电光机王,30824035,1580876,261010,9.8
世界尽头的圣骑士,30634726,1985747,128272,7
龙先生，想要买个家,30510940,1510872,187765,9.4
伊甸星原 EDENS ZERO,30414132,1353092,183339,9.5
装甲重拳/MEGALOBOX 第二季,29895196,2641409,184192,9.9
薇薇 -萤石眼之歌-,28131282,1580201,170525,9.8
鬼灭之刃 无限列车篇,27975544,12222127,141297,0
瓦尼塔斯的手记,26853338,1869002,216178,9.6
愤怒的审判,25907141,2770980,112263,6
这爱情有点奇怪,25619262,1134818,271862,9.2
工作细胞（中配版）,23825059,9303504,159262,9.7
阴晴不定大哥哥,22750169,1191769,242804,9.8
佐贺偶像是传奇 卷土重来,21907810,1292521,227760,9.9
巴克·亚罗/BACK ARROW,21018257,881603,223207,9.8
我立于百万生命之上（第二季）,20920086,2345374,154309,8
桃子男孩渡海而来,20909293,1062622,86999,4.5
岸边露伴 一动也不动,19869843,6836709,103038,9.9
天地创造设计部,19246288,1053629,172202,9.5
只有我能进入的隐藏地下城,19242574,824656,257614,7.2
悠哉日常大王 第三季,19051981,1725271,227467,9.9
文豪野犬 汪！,18880880,3230583,208414,9.8
宿命回响：命运节拍,18672703,2600747,69970,9.2
赛马娘 第二季,18510433,1501664,181130,9.9
LoveLive 爱与演唱会!超级明星!!,17355982,932577,230425,9.8
咒术回战 粤配版,16255811,10399395,102464,9.8
忧国的莫里亚蒂 后半,15963923,2020273,161339,9.7
碧蓝航线：微速前行！,14429044,1814702,109984,9.8
记录的地平线 圆桌崩坏,14302818,1938811,104828,9.7
白沙的水族馆,14217858,1164617,145785,9.5
漂流少年,14210434,943110,104687,9.8
小猪佩奇 第八季,13550401,180703,15013,8.2
JOJO的奇妙冒险 石之海,13297738,6836711,18349,0
堀与宫村 中配版,12552437,6235502,104299,9.6
开挂药师的奇幻世界悠闲生活,12491596,848255,125776,8.7
环太平洋：黑色禁区,12124164,646900,90868,6.3
平家物语,11813900,981917,49803,9.8
干物妹！小埋 中配版,11533753,7202235,52628,9.1
紫罗兰永恒花园 中配版,11464821,7715176,64183,9.5
怪病医拉姆尼,11448246,762321,85152,9.3
夏目友人帐 唤石者与怪异的访客,11044795,6069871,167851,9.9
言语如苏打般涌现,10543701,0,68938,9.5
哆啦A梦：大雄的新恐龙,9137600,1652372,132892,9.7
未来的未来,8923906,0,51174,9.5
JOESTAR RADIO,7858277,6836713,23352,9.8
初高中同校！！鬼灭学园物语,7682686,12222128,14153,9.6
海兽之子,7539594,0,38348,8.4
不存在的战区,7173577,1176790,5788,0
普罗米亚,6598275,0,48665,9.7
偶像荣耀/IDOLY PRIDE,6264531,543064,69426,9.8
干物妹！小埋R 中配版,6213926,7202235,19423,9.2
我，小怼,6194797,224673,6594,9.5
理科生坠入情网，故尝试证明。 中配版,6077715,2943590,23935,8.8
苍之骑士团,6055298,509686,29156,8.4
迷宫标记者,5737927,577221,26620,5.8
魔法纪录 魔法少女,0,0,0,0
小圆外传 第二季,5646273,2704250,35279,9
纯白之音,5578419,416198,42133,9.3
宝可梦：超梦的逆袭 进化,5507711,456359,36547,7.2
重创的伤口,5285241,488118,18123,6.2
美少年侦探团,4847550,417741,33857,9.4
工作细胞：细胞大作战,4716957,9303504,18443,9.2
蔚蓝反射 澪,4543397,383180,30159,8.6
厨神小当家2,4500222,691415,26379,6.3
歌剧少女！！,4470588,393377,50418,9.7
花样滑冰Stars,4059946,285652,27731,2.7
结城友奈是勇者 第三季 / 大满开之章,4045873,911526,20814,9.8
名侦探柯南 绯色的不在证明,4004588,4936580,30141,0
工作细胞 第二季（中配版）,3926594,9303504,19688,9.4
大正少女御伽话,3538888,520237,45131,9.1
生化危机：诅咒,3395884,106408,15529,8.4
命运-冠位嘉年华,3211539,5025156,18880,9.8
半妖的夜叉姬 第二季,3198502,3113389,22990,6.5
影宅,3134643,811032,2907,0
美丽新世界 The Animation/美好世界,3094763,294826,11959,8.9
创之界限,3092510,577622,10445,8.3
生化危机：恶化,3007639,106408,15168,5.8
机动战士高达：闪光的哈萨维,2898618,270443,34244,9.8
奇巧出租车,2852954,272015,20022,9.9
装甲娘战机,2824653,294231,20271,8.3
舞伎家的料理人,2726850,296985,18334,9.8
隐瞒之事 电影剪辑版,2659845,365527,6709,9.9
烧窑的话也要马克杯,2495221,462264,15160,9
卡片战斗先导者overDress,2484938,312469,16778,7.2
鲁邦三世 第六季,2482126,855510,10232,9.4
魔术士欧菲流浪之旅 基姆拉克篇,2481017,341722,3284,7
2.43清阴高中男子排球社,2340696,273414,19428,8.6
水果篮子 最终季,2305970,1354709,28632,9.7
男孩遇见女孩,2191948,416110,3119,9.6
世界魔女出发！,2124895,394785,4200,9.4
小不点社长,2050074,245810,4111,9.5
厨神小当家2（中配）,1880418,691415,16959,6.7
桃子男孩渡海而来 正序版,1871243,1062622,8574,7.1
剧偶像,1656452,229989,15892,8.3
春 ,1436278,0,1644,8.6
蓝色时期,1287822,576524,497,0
RE-MAIN：少年与水球,1236073,90417,6048,9.3
地球先锋队（中配版）,1220650,7994,845,0
